Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year),normalized_title,book_id,clean_desc,tags,desc_len
Irish Gold: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels),"By Greeley, Andrew M.","Bestselling novelist Andrew M. Greeley outdoes his previous triumphs with Irish Gold, a contemporary, fresh and exciting novel of suspense and love. Nuala Anne McGrail, a student at Dublin's Trinity College, is beautiful the way a Celtic goddess is beautiful - not that Dermot Michael Coyne of Chicago has ever seen one of those in his twenty-five years - unless you count his grandmother Nell, who left Ireland during the Troubles with her husband Liam O'Riada, and who would never tell why they left. Somebody else remembers, though - or why is Dermot set upon by thugs?"," Fiction , Mystery & Detective , General",Forge Books,5.29,September,1995,irish gold a nuala anne mcgrail novel nuala anne mcgrail novels,3471,"bestselling novelist andrew. greeley outdoes previous triumph irish gold, contemporary, fresh exciting novel suspense love. nuala anne mcgrail, student dublin trinity college, beautiful way celtic goddess beautiful dermot michael coyne chicago ever seen one twentyfive year unless count grandmother nell, left ireland trouble husband liam oriada, would never tell left. somebody else remembers, though dermot set upon thug","triumph irish, novel suspense, bestselling novelist",422
Reckless: A Novel,"By Gross, Andrew","“Reckless is a sexy-as-hell thriller and Andrew Gross’s best.” —James Patterson “Fantastic….An automatic must read for lovers of fast, topical, can’t-put-it-down thrillers.”—Lee Child “Bold, brainy and chilling, you won’t be able to put this book down.” —Linda Fairstein #1 New York Times bestselling author Andrew Gross soars to breathtaking new heights with Reckless—as investigator Ty Hauck, hero of The Dark Tide and Don’t Look Twice,  follows the threads of a brutal murder of a Connecticut family into the heart of a terrifying conspiracy."," Fiction , Thrillers , General",William Morrow,5.29,April,2010,reckless a novel,1607,"reckless sexyashell thriller andrew gross best. james patterson fantastic. automatic must read lover fast, topical, cantputitdown thriller. lee child bold, brainy chilling, wont able put book. linda fairstein new york time bestselling author andrew gross soar breathtaking new height recklessas investigator hauck, hero dark tide dont look twice, follows thread brutal murder connecticut family heart terrifying conspiracy","thriller andrew, reckless sexyashell, thriller lee",422
The Good Enough Child: How to Have an Imperfect Family and Be Perfectly Satisfied,"By Sachs, Brad E., Ph.D.","Dr. Brad Sachs knows what it's like for parents.  Your son or daughter often turns out to be the child of your dreams. In The Good Enough Child, this uite different from the experienced and respected psychologist eases you down the unpredictable path of child-rearing, offering lively anecdotes, practical strategies, and hands-on exercises that will help you to develop realistic expectations of your family, and to understand, forgive, and accept them in spite of their imperfections.  The result is that you will raise your children with greater clarity and compassion, and finally enjoy a loving, supportive relationship with them."," Family & Relationships , Parenting , General",William Morrow Paperbacks,5.29,June,2001,the good enough child how to have an imperfect family and be perfectly satisfied,4805,"brad sachs know like parent. son daughter often turn child dream. good enough child, uite different experienced respected psychologist eas unpredictable path childrearing, offering lively anecdotes, practical strategies, handson exercise help develop realistic expectation family, understand, forgive, accept spite imperfection. result raise child greater clarity compassion, finally enjoy loving, supportive relationship","parent son, like parent, parent",421
Other People's Children: A Novel,"By Trollope, Joanna","Joanna Trollope delves into the dynamics of stepfamily life and  introduces us to two couples whose relationships are complicated by the  enriching-and sometimes enraging-presence of others. From the grown  daughter who insinuates herself into her widowed father's romantic  life, to the sullen teenager whose loyalties lie with her estranged  mother; from the awkwardness of tense celebrations to the discovery of  surprising sources of strength, this novel is ""a bittersweet tale of  the painfully divided affection created whenever a stepfamily is  formed."" (Kirkus Reviews)"," Fiction , Sagas",Berkley,14.96,June,2000,other peoples children a novel,4959,"joanna trollope delf dynamic stepfamily life introduces two couple whose relationship complicated enrichingand sometimes enragingpresence others. grown daughter insinuates widowed father romantic life, sullen teenager whose loyalty lie estranged mother awkwardness tense celebration discovery surprising source strength, novel bittersweet tale painfully divided affection created whenever stepfamily formed. kirkus review","stepfamily life, joanna trollope, insinuates widowed",421
The Encyclopedia of Civil Aircraft,"By Donald, David (EDT)","An illustrated guide to civil aircraft that have been flown in every country of the world. It includes 100-plus individual planes used by commercial airlines from the giant Guppy cargo plane to the single-seat racing plane, from the glamorous business jets to the classic Boeing 747.  Organized in alphabetical order by manufacturer, entries include a short history of the company, an account of each model's design, development and distribution, as well as color and b&w photographs and artwork profiles. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Transportation , Aviation , General",Thunder Bay Pr,7.66,November,1999,the encyclopedia of civil aircraft,3915,"illustrated guide civil aircraft flown every country world. includes plus individual plane used commercial airline giant guppy cargo plane singleseat racing plane, glamorous business jet classic boeing. organized alphabetical order manufacturer, entry include short history company, account model design, development distribution, well color photograph artwork profile. annotation. book news, inc. portland, booknews. com","civil aircraft, order manufacturer, cargo plane",421
"What's the Big Idea, Ben Franklin?","By Fritz, Jean and Tomes, Margot (ILT)","A fun historic tale by Newbery Honor-winning author, Jean Fritz!No matter how busy he was, Ben Franklin always found time to try out new ideas: a remote-control lock (so he could lock his door without getting out of bed), a rocking chair with a fan over it (to keep flies away), and a windmill (to turn his roast meat on its spit). Aside from being a mad of ideas, he was an ambassador to England, a printer, an almanac maker, a politician, and even a vegetarian (for a time, anyway).""This biography is distinguished by its humanizing detail [and] amusing tone."" - School Library Journal"," Juvenile Nonfiction , History , United States , Colonial & Revolutionary Periods",Puffin Books,4.99,May,1996,whats the big idea ben franklin,941,"fun historic tale newbery honorwinning author, jean fritz. matter busy was, ben franklin always found time try new idea remotecontrol lock could lock door without getting bed, rocking chair fan keep fly away, windmill turn roast meat spit. aside mad ideas, ambassador england, printer, almanac maker, politician, even vegetarian time, anyway. biography distinguished humanizing detail amusing tone. school library journal","tale newbery, jean fritz, fritz matter",421
A Little Trouble with the Facts: A Novel,"By Siegal, Nina","Valerie Vane was an up-and-coming lifestyle reporter at a prominent New York City daily. Then she stumbled, rather publicly, and lost it all—her column, her fiancé, her access behind the city's velvet ropes. Now she's on the obituary desk writing death notices, and it feels like a dead end. However, when she writes about a recently deceased once-famous graffiti artist, the phone calls start. A mysterious voice on the other end of the line tells her the artist's death was a murder—and if she were a real reporter, she'd investigate. But can Valerie trade her stilettos for gumshoes?"," Fiction , General",Harper Paperbacks,4.99,February,2008,a little trouble with the facts a novel,3976,"valerie vane upandcoming lifestyle reporter prominent new york city daily. stumbled, rather publicly, lost allher column, fianc, access behind city velvet rope. shes obituary desk writing death notices, feel like dead end. however, writes recently deceased oncefamous graffiti artist, phone call start. mysterious voice end line tell artist death murderand real reporter, shed investigate. valerie trade stiletto gumshoe","writing death, artist death, dead end",420
"The Everything Kids' Puzzle Book: Mazes, Word Games, Puzzles & More! Hours of Fun!","By Blair, Beth L. and Ericsson, Jennifer A.","Wind your way through pages of endless fun! Decode a secret message using the phases of the moon, wind your way through a pizza maze, find hidden presidents, borrow some drachmas, unscramble an invention time line, play super duper tic-tac-toe, classic hangman, match up snowflakes, and more with The Everything Kids’ Puzzle Book! You can also look for Mervin the Mouse every time you turn the page—he’s watching from his hiding place to help you through this wild and whacky jam-packed puzzle book! Sharpen more than one pencil—there are enough puzzles here to keep you entertained for hours!"," Juvenile Nonfiction , Activity Books , General",Everything,4.99,March,2002,the everything kids puzzle book mazes word games puzzles more hours of fun,4807,"wind way page endless fun. decode secret message using phase moon, wind way pizza maze, find hidden presidents, borrow drachmas, unscramble invention time line, play super duper tictactoe, classic hangman, match snowflakes, everything kid puzzle book. also look mervin mouse every time turn pagehes watching hiding place help wild whacky jampacked puzzle book. sharpen one pencilthere enough puzzle keep entertained hour","puzzle entertained, fun decode, kid puzzle",420
Why I Am a Muslim,"By Hasan, Asma Gull","In the wake of 9-11, the activities of Osama Bin Laden and Hamas, and the recent Gulf War, the Western press have been filled with information and mis-information about the true nature of Islam. Is it a feudal misogynist belief system that is a threat to Western values? Is it an ideology of oppression? Or, is it a faith tradition that is as varied as Christianity, a ""big tent"" that includes not only the extremists that we read about in the daily press, but also a majority of followers who are committed to an authentic spirituality that embraces many of the values shared by the mainstream in Europe and America? Why I Am a Muslim is a gentle analysis of those issues."," Religion , Sikhism",Element Books Ltd,5.29,March,2004,why i am a muslim,583,"wake activity osama bin laden hamas, recent gulf war, western press filled information misinformation true nature islam. feudal misogynist belief system threat western value. ideology oppression. or, faith tradition varied christianity, big tent includes extremist read daily press, also majority follower committed authentic spirituality embrace many value shared mainstream europe america. muslim gentle analysis issue","america muslim, islam, nature islam",420
The Night Before Christmas (Pictureback(R)),"By Moore, Clement Clarke and Gorsline, Douglas W.","America's favorite Christmas poem, featuring timeless illustrations, is the perfect gift for any child!  On the night before Christmas, a father catches an unexpected glimpse of St. Nicholas himself. Along with his eight reindeer, Santa is here to fill the family's stockings with toys. His short visit fills the silent house with joy and wonder. Written by Clement Clarke Moore and first published in 1823, this read-aloud classic has been beloved for generations. Whether for nostalgia-seeking readers or new generations, The Night Before Christmas is a must-have in everyone's collection."," Juvenile Fiction , Holidays & Celebrations , Christmas & Advent",Random House Books for Young Readers,5.29,August,1975,the night before christmas picturebackr,4628,"america favorite christmas poem, featuring timeless illustrations, perfect gift child. night christmas, father catch unexpected glimpse. nicholas. along eight reindeer, santa fill family stocking toy. short visit fill silent house joy wonder. written clement clarke moore first published readaloud classic beloved generation. whether nostalgiaseeking reader new generations, night christmas musthave everyones collection","christmas poem, favorite christmas, nostalgiaseeking reader",420
